,date,unidad
4477,2022-05-02 00:00:00,1
4478,2022-05-02 15:00:00,24
4479,2022-05-02 17:00:00,8
4480,2022-05-02 20:00:00,6
4481,2022-05-02 22:00:00,44
4482,2022-05-02 23:00:00,23
4483,2022-05-02 23:04:15,98
4484,2022-05-03 00:00:00,1
4485,2022-05-03 11:36:46,37
4486,2022-05-03 14:00:00,3
4487,2022-05-03 16:00:00,5
4488,2022-05-03 17:00:00,20
4489,2022-05-03 20:00:00,325
4490,2022-05-03 22:00:00,84
4491,2022-05-03 23:00:00,49
4492,2022-05-04 00:00:00,5
4493,2022-05-04 09:33:14,45
4494,2022-05-04 15:00:00,11
4495,2022-05-04 17:00:00,8
4496,2022-05-04 20:00:00,312
4497,2022-05-04 22:00:00,76
4498,2022-05-04 23:00:00,61
4499,2022-05-05 00:26:22,43
4500,2022-05-05 15:00:00,5
4501,2022-05-05 17:00:00,20
4502,2022-05-05 20:00:00,291
4503,2022-05-05 22:00:00,13
4504,2022-05-05 23:00:00,10
4505,2022-05-05 23:55:34,36
4506,2022-05-06 00:00:00,1
4507,2022-05-06 17:00:00,20
4508,2022-05-06 20:00:00,14
4509,2022-05-06 22:00:00,9
4510,2022-05-06 23:00:00,51
4511,2022-05-08 15:00:00,11
4512,2022-05-08 22:33:39,68
4513,2022-05-09 17:00:00,72
4514,2022-05-09 20:00:00,289
4515,2022-05-09 22:00:00,10
4516,2022-05-09 23:00:00,98
4517,2022-05-10 00:00:00,1
4518,2022-05-10 00:40:11,35
4519,2022-05-10 15:00:00,22
4520,2022-05-10 16:00:00,1
4521,2022-05-10 17:00:00,19
4522,2022-05-10 18:00:00,1
4523,2022-05-10 19:02:43,3
4524,2022-05-10 20:00:00,356
4525,2022-05-10 22:00:00,44
4526,2022-05-10 23:00:00,74
4527,2022-05-11 00:00:00,1
4528,2022-05-11 09:49:01,46
4529,2022-05-11 15:00:00,13
4530,2022-05-11 17:00:00,34
4531,2022-05-11 19:18:44,1
4532,2022-05-11 20:00:00,286
4533,2022-05-11 22:00:00,46
4534,2022-05-11 23:00:00,70
4535,2022-05-12 00:00:00,82
4536,2022-05-12 10:01:44,36
4537,2022-05-12 15:00:00,18
4538,2022-05-12 17:00:00,19
4539,2022-05-12 18:00:00,4
4540,2022-05-12 20:00:00,384
4541,2022-05-12 22:00:00,16
4542,2022-05-12 23:00:00,15
4543,2022-05-13 08:45:56,16
4544,2022-05-13 13:06:55,2
4545,2022-05-13 17:00:00,27
4546,2022-05-13 18:00:00,1
4547,2022-05-13 20:00:00,17
4548,2022-05-13 22:00:00,24
4549,2022-05-13 23:00:00,41
4550,2022-05-14 16:22:35,1
4551,2022-05-15 15:00:00,21
4552,2022-05-16 09:59:15,57
4553,2022-05-16 10:00:00,1
4554,2022-05-16 15:26:56,37
4555,2022-05-16 17:00:00,34
4556,2022-05-16 20:00:00,4
4557,2022-05-16 22:00:00,21
4558,2022-05-16 23:00:00,69
4559,2022-05-17 00:00:00,1
4560,2022-05-17 09:24:08,26
4561,2022-05-17 15:00:00,13
4562,2022-05-17 17:00:00,16
4563,2022-05-17 20:00:00,328
4564,2022-05-17 22:00:00,51
4565,2022-05-17 23:00:00,32
4566,2022-05-18 09:00:00,1
4567,2022-05-18 11:14:20,30
4568,2022-05-18 12:01:53,3
4569,2022-05-18 15:00:00,9
4570,2022-05-18 17:00:00,16
4571,2022-05-18 20:00:00,8
4572,2022-05-18 22:00:00,30
4573,2022-05-18 23:00:00,38
4574,2022-05-19 10:02:29,20
4575,2022-05-19 15:00:00,14
4576,2022-05-19 17:00:00,13
4577,2022-05-19 20:00:00,15
4578,2022-05-19 22:00:00,15
4579,2022-05-19 23:00:00,4
4580,2022-05-20 00:00:00,240
4581,2022-05-20 11:26:50,20
4582,2022-05-20 14:51:56,1
4583,2022-05-20 17:00:00,7
4584,2022-05-20 20:00:00,19
4585,2022-05-20 22:00:00,30
4586,2022-05-20 23:00:00,57
4587,2022-05-21 20:00:00,3
4588,2022-05-22 15:00:00,25
4589,2022-05-23 11:05:45,62
4590,2022-05-23 17:00:00,12
4591,2022-05-23 20:00:00,7
4592,2022-05-23 22:00:00,23
4593,2022-05-23 23:00:00,15
4594,2022-05-24 11:36:09,18
4595,2022-05-24 15:00:00,1
4596,2022-05-24 15:45:39,4
4597,2022-05-24 17:00:00,18
4598,2022-05-24 20:00:00,11
4599,2022-05-24 22:00:00,36
4600,2022-05-24 23:00:00,49
4601,2022-05-25 13:06:49,18
4602,2022-05-25 15:17:16,3
4603,2022-05-25 17:00:00,11
4604,2022-05-25 18:00:00,1
4605,2022-05-25 20:00:00,134
4606,2022-05-25 22:00:00,32
4607,2022-05-25 23:00:00,39
4608,2022-05-26 09:50:47,51
4609,2022-05-26 15:00:00,17
4610,2022-05-26 17:51:47,1
4611,2022-05-26 20:00:00,195
4612,2022-05-26 23:00:00,23
4613,2022-05-27 10:30:34,19
4614,2022-05-27 17:00:00,11
4615,2022-05-27 20:00:00,141
4616,2022-05-27 22:00:00,35
4617,2022-05-27 23:00:00,45
4618,2022-05-29 15:00:00,6
4619,2022-05-30 10:15:08,47
4620,2022-05-30 15:00:00,2
4621,2022-05-30 15:01:52,21
4622,2022-05-30 17:00:00,14
4623,2022-05-30 20:00:00,5
4624,2022-05-30 22:00:00,33
4625,2022-05-30 23:00:00,53
4626,2022-05-31 10:44:25,24
4627,2022-05-31 15:00:00,8
4628,2022-05-31 17:00:00,20
4629,2022-05-31 20:00:00,461
4630,2022-05-31 22:00:00,18
4631,2022-05-31 23:00:00,13
4632,2022-06-01 11:40:34,25
4633,2022-06-01 15:00:00,8
4634,2022-06-01 17:00:00,23
4635,2022-06-01 17:26:52,10
4636,2022-06-01 20:00:00,863
4637,2022-06-01 22:00:00,52
4638,2022-06-01 23:00:00,72
4639,2022-06-02 00:00:00,13
4640,2022-06-02 09:43:40,22
4641,2022-06-02 15:00:00,12
4642,2022-06-02 20:00:00,126
4643,2022-06-02 22:00:00,29
4644,2022-06-03 11:47:00,2
4645,2022-06-03 17:00:00,13
4646,2022-06-03 20:00:00,5
4647,2022-06-03 22:00:00,11
4648,2022-06-03 23:00:00,17
