date,unidad
2018-01-01,8
2018-01-02,306
2018-01-03,88
2018-01-04,421
2018-01-05,210
2018-01-06,16
2018-01-07,184
2018-01-08,242
2018-01-09,325
2018-01-10,307
2018-01-11,87
2018-01-12,293
2018-01-13,20
2018-01-14,165
2018-01-15,198
2018-01-16,367
2018-01-17,203
2018-01-18,62
2018-01-19,275
2018-01-20,18
2018-01-21,45
2018-01-22,334
2018-01-23,78
2018-01-24,262
2018-01-25,144
2018-01-26,139
2018-01-27,11
2018-01-28,118
2018-01-29,265
2018-01-30,78
2018-01-31,267
2018-02-01,58
2018-02-02,331
2018-02-03,10
2018-02-04,30
2018-02-05,454
2018-02-06,66
2018-02-07,533
2018-02-08,48
2018-02-09,381
2018-02-10,8
2018-02-11,38
2018-02-12,366
2018-02-13,68
2018-02-14,364
2018-02-15,48
2018-02-16,354
2018-02-17,12
2018-02-18,30
2018-02-19,337
2018-02-20,89
2018-02-21,400
2018-02-22,54
2018-02-23,231
2018-02-24,12
2018-02-25,35
2018-02-26,312
2018-02-27,225
2018-02-28,274
2018-03-01,43
2018-03-02,343
2018-03-03,11
2018-03-04,29
2018-03-05,284
2018-03-06,517
2018-03-07,228
2018-03-08,60
2018-03-09,344
2018-03-10,15
2018-03-11,34
2018-03-12,343
2018-03-13,224
2018-03-14,204
2018-03-15,68
2018-03-16,191
2018-03-17,14
2018-03-18,22
2018-03-19,226
2018-03-20,201
2018-03-21,129
2018-03-22,45
2018-03-23,163
2018-03-24,10
2018-03-25,25
2018-03-26,273
2018-03-27,153
2018-03-28,83
2018-03-29,39
2018-03-30,18
2018-03-31,9
2018-04-01,16
2018-04-02,21
2018-04-03,217
2018-04-04,174
2018-04-05,44
2018-04-06,159
2018-04-07,10
2018-04-08,24
2018-04-09,161
2018-04-10,176
2018-04-11,110
2018-04-12,42
2018-04-13,180
2018-04-14,10
2018-04-15,30
2018-04-16,177
2018-04-17,141
2018-04-18,125
2018-04-19,61
2018-04-20,156
2018-04-21,7
2018-04-22,31
2018-04-23,198
2018-04-24,190
2018-04-25,116
2018-04-26,42
2018-04-27,179
2018-04-28,3
2018-04-29,32
2018-04-30,194
2018-05-01,137
2018-05-02,122
2018-05-03,47
2018-05-04,225
2018-05-05,7
2018-05-06,26
2018-05-07,51
2018-05-08,210
2018-05-09,209
2018-05-10,41
2018-05-11,195
2018-05-12,7
2018-05-13,23
2018-05-14,226
2018-05-15,197
2018-05-16,117
2018-05-17,42
2018-05-18,185
2018-05-19,14
2018-05-20,32
2018-05-21,132
2018-05-22,187
2018-05-23,184
2018-05-24,60
2018-05-25,102
2018-05-26,8
2018-05-27,42
2018-05-28,48
2018-05-29,214
2018-05-30,239
2018-05-31,44
2018-06-01,199
2018-06-02,3
2018-06-03,27
2018-06-04,210
2018-06-05,196
2018-06-06,154
2018-06-07,44
2018-06-08,155
2018-06-09,3
2018-06-10,24
2018-06-11,196
2018-06-12,167
2018-06-13,129
2018-06-14,57
2018-06-15,167
2018-06-16,6
2018-06-17,17
2018-06-18,119
2018-06-19,160
2018-06-20,152
2018-06-21,33
2018-06-22,226
2018-06-23,2
2018-06-24,20
2018-06-25,148
2018-06-26,205
2018-06-27,103
2018-06-28,37
2018-06-29,405
2018-06-30,11
2018-07-01,26
2018-07-02,306
2018-07-03,204
2018-07-04,210
2018-07-05,60
2018-07-06,441
2018-07-07,12
2018-07-08,26
2018-07-09,354
2018-07-10,66
2018-07-11,273
2018-07-12,79
2018-07-13,374
2018-07-14,8
2018-07-15,26
2018-07-16,275
2018-07-17,247
2018-07-18,258
2018-07-19,56
2018-07-20,416
2018-07-21,11
2018-07-22,29
2018-07-23,247
2018-07-24,183
2018-07-25,153
2018-07-26,69
2018-07-27,214
2018-07-28,5
2018-07-29,16
2018-07-30,214
2018-07-31,170
2018-08-01,96
2018-08-02,57
2018-08-03,229
2018-08-04,7
2018-08-05,25
2018-08-06,190
2018-08-07,131
2018-08-08,125
2018-08-09,59
2018-08-10,167
2018-08-11,7
2018-08-12,24
2018-08-13,288
2018-08-14,122
2018-08-15,39
2018-08-16,174
2018-08-17,78
2018-08-18,3
2018-08-19,67
2018-08-20,228
2018-08-21,143
2018-08-22,100
2018-08-23,51
2018-08-24,102
2018-08-25,6
2018-08-26,107
2018-08-27,45
2018-08-28,205
2018-08-29,151
2018-08-30,147
2018-08-31,45
2018-09-01,3
2018-09-02,166
2018-09-03,188
2018-09-04,125
2018-09-05,125
2018-09-06,138
2018-09-07,117
2018-09-08,7
2018-09-09,20
2018-09-10,230
2018-09-11,141
2018-09-12,113
2018-09-13,101
2018-09-14,50
2018-09-15,6
2018-09-16,126
2018-09-17,202
2018-09-18,183
2018-09-19,117
2018-09-20,120
2018-09-21,108
2018-09-22,6
2018-09-23,9
2018-09-24,216
2018-09-25,137
2018-09-26,114
2018-09-27,101
2018-09-28,98
2018-09-29,9
2018-09-30,112
2018-10-01,200
2018-10-02,219
2018-10-03,138
2018-10-04,112
2018-10-05,93
2018-10-06,10
2018-10-07,20
2018-10-08,339
2018-10-09,220
2018-10-10,156
2018-10-11,185
2018-10-12,107
2018-10-13,7
2018-10-14,35
2018-10-15,268
2018-10-16,272
2018-10-17,155
2018-10-18,141
2018-10-19,114
2018-10-20,12
2018-10-21,25
2018-10-22,260
2018-10-23,247
2018-10-24,197
2018-10-25,125
2018-10-26,80
2018-10-27,2
2018-10-28,97
2018-10-29,136
2018-10-30,299
2018-10-31,206
2018-11-01,182
2018-11-02,147
2018-11-03,7
2018-11-04,111
2018-11-05,292
2018-11-06,215
2018-11-07,202
2018-11-08,266
2018-11-09,131
