date,unidad
2018-04-09 20:00:00,1
2018-04-10 20:00:00,1
2018-04-11 16:00:00,3
2018-04-11 19:00:00,63
2018-04-13 19:00:00,121
2018-04-13 20:00:00,16
2018-04-16 19:00:00,109
2018-04-17 13:00:00,1
2018-04-17 19:00:00,90
2018-04-18 19:00:00,72
2018-04-18 20:00:00,2
2018-04-20 00:00:00,2
2018-04-20 15:00:00,4
2018-04-20 19:00:00,119
2018-04-23 19:00:00,135
2018-04-23 20:00:00,3
2018-04-24 19:00:00,132
2018-04-25 19:00:00,62
2018-04-27 19:00:00,137
2018-04-27 20:00:00,14
2018-04-30 12:47:00,1
2018-04-30 19:00:00,131
2018-05-01 19:00:00,93
2018-05-02 19:00:00,80
2018-05-04 19:00:00,191
2018-05-08 19:00:00,125
2018-05-09 16:00:00,3
2018-05-09 19:00:00,152
2018-05-11 14:00:00,2
2018-05-11 14:30:00,14
2018-05-11 19:00:00,146
2018-05-14 19:00:00,136
2018-05-14 20:00:00,25
2018-05-15 10:00:00,7
2018-05-15 19:00:00,124
2018-05-16 19:00:00,56
2018-05-18 12:00:00,20
2018-05-18 19:00:00,118
2018-05-21 14:44:00,5
2018-05-21 19:00:00,79
2018-05-22 15:00:00,12
2018-05-22 19:00:00,111
2018-05-23 19:00:00,150
2018-05-25 14:00:00,3
2018-05-25 14:30:00,3
2018-05-25 19:00:00,71
2018-05-29 15:00:00,2
2018-05-29 19:00:00,158
2018-05-30 19:00:00,161
2018-06-01 19:00:00,137
2018-06-04 19:00:00,145
2018-06-04 20:00:00,3
2018-06-05 19:00:00,116
2018-06-06 16:00:00,4
2018-06-06 19:00:00,69
2018-06-06 20:00:00,13
2018-06-08 19:00:00,107
2018-06-08 20:00:00,2
2018-06-11 19:00:00,122
2018-06-12 19:00:00,106
2018-06-13 19:00:00,58
2018-06-13 20:00:00,1
2018-06-15 15:00:00,8
2018-06-15 19:00:00,119
2018-06-18 19:00:00,67
2018-06-19 16:00:00,3
2018-06-19 19:00:00,105
2018-06-20 16:16:00,6
2018-06-20 19:00:00,100
2018-06-22 09:00:00,1
2018-06-22 16:00:00,10
2018-06-22 19:00:00,175
2018-06-25 19:00:00,93
2018-06-26 19:00:00,141
2018-06-27 19:00:00,64
2018-06-29 19:00:00,343
2018-07-02 12:00:00,2
2018-07-02 13:00:00,6
2018-07-02 19:00:00,237
2018-07-03 10:00:00,1
2018-07-03 19:00:00,142
2018-07-04 19:00:00,156
2018-07-06 16:00:00,3
2018-07-06 19:00:00,383
2018-07-09 19:00:00,283
2018-07-10 19:30:00,1
2018-07-11 12:00:00,4
2018-07-11 16:00:00,1
2018-07-11 19:00:00,223
2018-07-13 12:00:00,18
2018-07-13 13:00:00,1
2018-07-13 19:00:00,296
2018-07-16 16:00:00,14
2018-07-16 19:00:00,174
2018-07-17 15:00:00,2
2018-07-17 19:00:00,127
2018-07-18 14:00:00,14
2018-07-18 19:00:00,160
2018-07-20 00:00:00,146
2018-07-20 09:30:00,8
2018-07-20 19:00:00,190
2018-07-23 00:00:00,1
2018-07-23 19:00:00,143
2018-07-24 16:00:00,5
2018-07-24 19:00:00,95
2018-07-25 19:00:00,78
2018-07-27 00:00:00,1
2018-07-27 11:00:00,10
2018-07-27 14:00:00,3
2018-07-27 19:00:00,141
2018-07-30 19:00:00,128
2018-07-31 19:00:00,81
2018-07-31 19:30:00,22
2018-08-01 19:00:00,48
2018-08-03 11:00:00,15
2018-08-03 17:00:00,27
2018-08-03 19:00:00,110
2018-08-06 19:00:00,125
2018-08-07 19:00:00,75
2018-08-08 19:00:00,54
2018-08-10 15:00:00,4
2018-08-10 19:00:00,121
2018-08-13 19:00:00,199
2018-08-13 19:30:00,6
2018-08-14 19:00:00,69
2018-08-17 19:00:00,40
2018-08-19 14:00:00,43
2018-08-19 15:00:00,10
2018-08-20 19:00:00,60
2018-08-20 20:00:00,46
2018-08-21 19:00:00,55
2018-08-22 19:00:00,59
2018-08-24 19:00:00,53
2018-08-26 15:00:00,69
2018-08-27 19:00:00,5
2018-08-28 19:00:00,97
2018-08-29 19:00:00,71
2018-08-30 21:00:00,57
2018-09-02 14:00:00,122
2018-09-03 19:00:00,74
2018-09-04 16:00:00,1
2018-09-04 19:00:00,72
2018-09-05 19:00:00,68
2018-09-06 20:00:00,54
2018-09-07 19:00:00,58
2018-09-10 00:00:00,16
2018-09-10 19:00:00,134
2018-09-11 00:00:00,14
2018-09-11 19:00:00,69
2018-09-12 19:00:00,68
2018-09-13 19:00:00,60
2018-09-16 19:00:00,110
2018-09-17 00:00:00,25
2018-09-17 19:00:00,87
2018-09-18 00:00:00,19
2018-09-18 19:00:00,74
2018-09-19 19:00:00,57
2018-09-19 22:00:00,7
2018-09-20 19:00:00,59
2018-09-20 22:00:00,19
2018-09-21 19:00:00,58
