date;unidad
02/05/2022;1
02/05/2022;24
02/05/2022;8
02/05/2022;6
02/05/2022;44
02/05/2022;23
02/05/2022;98
03/05/2022;1
03/05/2022;37
03/05/2022;3
03/05/2022;5
03/05/2022;20
03/05/2022;325
03/05/2022;84
03/05/2022;49
04/05/2022;5
04/05/2022;45
04/05/2022;11
04/05/2022;8
04/05/2022;312
04/05/2022;76
04/05/2022;61
05/05/2022;43
05/05/2022;5
05/05/2022;20
05/05/2022;291
05/05/2022;13
05/05/2022;10
05/05/2022;36
06/05/2022;1
06/05/2022;20
06/05/2022;14
06/05/2022;9
06/05/2022;51
08/05/2022;11
08/05/2022;68
09/05/2022;72
09/05/2022;289
09/05/2022;10
09/05/2022;98
10/05/2022;1
10/05/2022;35
10/05/2022;22
10/05/2022;1
10/05/2022;19
10/05/2022;1
10/05/2022;3
10/05/2022;356
10/05/2022;44
10/05/2022;74
11/05/2022;1
11/05/2022;46
11/05/2022;13
11/05/2022;34
11/05/2022;1
11/05/2022;286
11/05/2022;46
11/05/2022;70
12/05/2022;82
12/05/2022;36
12/05/2022;18
12/05/2022;19
12/05/2022;4
12/05/2022;384
12/05/2022;16
12/05/2022;15
13/05/2022;16
13/05/2022;2
13/05/2022;27
13/05/2022;1
13/05/2022;17
13/05/2022;24
13/05/2022;41
14/05/2022;1
15/05/2022;21
16/05/2022;57
16/05/2022;1
16/05/2022;37
16/05/2022;34
16/05/2022;4
16/05/2022;21
16/05/2022;69
17/05/2022;1
17/05/2022;26
17/05/2022;13
17/05/2022;16
17/05/2022;328
17/05/2022;51
17/05/2022;32
18/05/2022;1
18/05/2022;30
18/05/2022;3
18/05/2022;9
18/05/2022;16
18/05/2022;8
18/05/2022;30
18/05/2022;38
19/05/2022;20
19/05/2022;14
19/05/2022;13
19/05/2022;15
19/05/2022;15
19/05/2022;4
20/05/2022;240
20/05/2022;20
20/05/2022;1
20/05/2022;7
20/05/2022;19
20/05/2022;30
20/05/2022;57
21/05/2022;3
22/05/2022;25
23/05/2022;62
23/05/2022;12
23/05/2022;7
23/05/2022;23
23/05/2022;15
24/05/2022;18
24/05/2022;1
24/05/2022;4
24/05/2022;18
24/05/2022;11
24/05/2022;36
24/05/2022;49
25/05/2022;18
25/05/2022;3
25/05/2022;11
25/05/2022;1
25/05/2022;134
25/05/2022;32
25/05/2022;39
26/05/2022;51
26/05/2022;17
26/05/2022;1
26/05/2022;195
26/05/2022;23
27/05/2022;19
27/05/2022;11
27/05/2022;141
27/05/2022;35
27/05/2022;45
29/05/2022;6
30/05/2022;47
30/05/2022;2
30/05/2022;21
30/05/2022;14
30/05/2022;5
30/05/2022;33
30/05/2022;53
31/05/2022;24
31/05/2022;8
31/05/2022;20
31/05/2022;461
31/05/2022;18
31/05/2022;13
01/06/2022;25
01/06/2022;8
01/06/2022;23
01/06/2022;10
01/06/2022;863
01/06/2022;52
01/06/2022;72
02/06/2022;13
02/06/2022;22
02/06/2022;12
02/06/2022;126
02/06/2022;29
03/06/2022;2
03/06/2022;13
03/06/2022;5
03/06/2022;11
03/06/2022;17
06/06/2022;2
06/06/2022;1381
06/06/2022;51
07/06/2022;99
07/06/2022;27
07/06/2022;25
07/06/2022;1540
07/06/2022;13
07/06/2022;51
08/06/2022;28
08/06/2022;15
08/06/2022;28
08/06/2022;4
08/06/2022;1
08/06/2022;12
08/06/2022;36
08/06/2022;33
09/06/2022;1
09/06/2022;33
09/06/2022;1
09/06/2022;8
09/06/2022;32
09/06/2022;4
09/06/2022;32
09/06/2022;19
10/06/2022;18
10/06/2022;1
10/06/2022;25
10/06/2022;6
10/06/2022;9
10/06/2022;48
11/06/2022;1
12/06/2022;17
13/06/2022;5
13/06/2022;64
13/06/2022;39
13/06/2022;11
13/06/2022;15
13/06/2022;12
